Batch Number: 1,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,Batch Time,C1-1,C1-2,C1-3,C2-2,C3-3,,,,,
Ignore,0,0,0.740484,#NAME?,0.740484,#NAME?,,500,0.14611,0.029934333,0.016566,1.713255,1.816385333,0.155572,0,0,1.162803,1.528154
Component1,20,0.039624,1.113908,29.16332,1.113908,1.155572,,1000,0.12133875,0.176658,0.04054775,1.423018,1.730941,0.1147,0,0,1.981069,1.981069
Component2,3,0.005944,1.597602,53.988989,1.597602,0.32089,,1500,0.1292652,0.1503312,0.0462772,1.4558002,1.7312284,0.168058,0.089803,0.049698,1.995893,1.939933
Component3,2,0.003962,1.76981,60.987089,1.76981,0.241656,,2000,0.115575,0.2836098,0.0822986,1.3553926,1.6329314,0.047025,0.616829,0.112493,0.552307,1.474608
Part1,19,0.037643,0.441588,11.730947,0.441588,0.441588,,2500,0.1157758,0.3563364,0.0822986,0.9591788,1.6196016,0.160971,0.045024,0.069195,1.586929,1.732378
Part2,0,0,0,#NAME?,0,#NAME?,,3000,0.1013236,0.5132826,0.082356,0.5600002,1.6168036,0.087121,0.666393,0.180107,0.660765,1.036669
Part3,0,0,0,#NAME?,0,#NAME?,,3500,0.115892,0.552845,0.07591,0.4495388,1.651489,0.115704,0.363633,0,0,1.91442
Agent:,Idle:,Busy:,,,,,,4000,0.102946,0.623989,0.062071,0.2188144,1.7028268,0.095797,0.874534,0.049985,0,1.925943
Inspector1,0,1,,,,,,4500,0.0877108,0.67867,0.0260496,0.0866614,1.871412,0.119867,0.814641,0.080263,0,1.648035
Inspector2,0.437453,0.562547,,,,,,5000,0.1159202,0.764009,0.051888,0.1015476,1.799235,0.096241,0.400744,0,0.433307,1.989067
Worker1,0.57346,0.42654,,,,,,5500,0.1142684,0.706431,0.041891,0.1020322,1.804807,0.010945,0.939798,0,0,1.879595
Worker2,1,0,,,,,,6000,0.129698,0.5650706,0.04338,0.3814386,1.6392384,0.256751,0.790328,0.129192,0.074431,1.553535
Worker3,1,0,,,,,,6500,0.1362594,0.556812,0.04338,0.41439,1.6370124,0.087538,0.586644,0,0.002423,1.953803
Queue:,Ocupancy:,,,,,,,7000,0.157533,0.4992582,0.0437794,0.429864,1.5789618,0.197015,0.107839,0.087708,1.397032,0.820192
C1-1,0.155572,,,,,,,7500,0.1383004,0.458697,0.019227,0.4403338,1.580971,0.129048,0.359451,0,0.598064,1.977937
C1-2,0,,,,,,,8000,0.1421412,0.3413682,0.019227,0.8363256,1.5817428,0.117313,0.652029,0.001997,0.07737,1.589342
C1-3,0,,,,,,,8500,0.123816,0.3256448,0.0088624,0.8124064,1.7822396,0.160588,0.587522,0.00643,0.12678,1.563581
